Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
551,2.38,9/22/2020 14:09,0,0,0,'0-9,3522,null
1274,5.51,9/22/2020 14:09,0,0,0,'10-19,3521,null
4684,20.27,9/22/2020 14:09,0,0,0,'20-29,3520,null
2822,12.21,9/22/2020 14:09,0.07,2,0.52,'30-39,3519,null
3083,13.34,9/22/2020 14:09,0.13,4,1.03,'40-49,3518,null
4280,18.52,9/22/2020 14:09,0.4,17,4.38,'50-59,3517,null
3644,15.77,9/22/2020 14:09,1.18,1.18,11.08,'60-69,3516,null
1833,7.93,9/22/2020 14:09,6.71,123,31.7,'70-79,3515,null
935,4.05,9/22/2020 14:09,21.28,199,51.29,over 80,3514,null
550,2.39,9/21/2020 14:38,0,0,0,'0-9,3500,null
1272,5.52,9/21/2020 14:38,0,0,0,'10-19,3499,null
4678,20.3,9/21/2020 14:38,0,0,0,'20-29,3498,null
2812,12.2,9/21/2020 14:38,0.07,2,0.52,'30-39,3497,null
3073,13.33,9/21/2020 14:38,0.13,4,1.04,'40-49,3496,null
4264,18.5,9/21/2020 14:38,0.4,17,4.42,'50-59,3495,null
3634,15.77,9/21/2020 14:38,1.16,42,10.91,'60-69,3494,null
1828,7.93,9/21/2020 14:38,6.62,121,31.43,'70-79,3493,null
934,4.05,9/21/2020 14:38,21.31,199,51.69,over 80,3492,null
548,2.39,9/20/2020 14:17,0,0,0,'0-9,3478,null
1264,5.52,9/20/2020 14:17,0,0,0,'10-19,3477,null
4653,20.32,9/20/2020 14:17,0,0,0,'20-29,3476,null
2792,12.2,9/20/2020 14:17,0.07,2,0.53,'30-39,3475,null
3053,13.34,9/20/2020 14:17,0.13,4,1.06,'40-49,3474,null
4239,18.52,9/20/2020 14:17,0.4,17,4.5,'50-59,3473,null
3608,15.76,9/20/2020 14:17,1.16,42,11.11,'60-69,3472,null
1807,7.89,9/20/2020 14:17,6.53,118,31.22,'70-79,3471,null
929,4.06,9/20/2020 14:17,20.99,195,51.59,over 80,3470,null
548,2.39,9/19/2020 14:20,0,0,0,'0-9,3456,null
1264,5.52,9/19/2020 14:20,0,0,0,'10-19,3455,null
4653,20.32,9/19/2020 14:20,0,0,0,'20-29,3454,null
2792,12.2,9/19/2020 14:20,0.07,2,0.53,'30-39,3453,null
3053,13.34,9/19/2020 14:20,0.13,4,1.06,'40-49,3452,null
4239,18.52,9/19/2020 14:20,0.4,17,4.5,'50-59,3451,null
3608,15.76,9/19/2020 14:20,1.16,42,11.11,'60-69,3450,null
1807,7.89,9/19/2020 14:20,6.53,118,31.22,'70-79,3449,null
929,4.06,9/19/2020 14:20,20.99,195,51.59,over 80,3448,null
547,2.4,9/18/2020 14:16,0,0,0,'0-9,3434,null
1259,5.53,9/18/2020 14:16,0,0,0,'10-19,3433,null
4647,20.4,9/18/2020 14:16,0,0,0,'20-29,3432,null
2785,12.22,9/18/2020 14:16,0.07,2,0.53,'30-39,3431,null
3044,13.36,9/18/2020 14:16,0.13,4,1.06,'40-49,3430,null
4204,18.45,9/18/2020 14:16,0.4,17,4.51,'50-59,3429,null
3582,15.72,9/18/2020 14:16,1.17,42,11.14,'60-69,3428,null
1792,7.87,9/18/2020 14:16,6.58,118,31.3,'70-79,3427,null
923,4.05,9/18/2020 14:16,21.02,194,51.46,over 80,3426,null
544,2.4,9/17/2020 15:15,0,0,0,'0-9,3412,null
1255,5.54,9/17/2020 15:15,0,0,0,'10-19,3411,null
4631,20.44,9/17/2020 15:15,0,0,0,'20-29,3410,null
2768,12.22,9/17/2020 15:15,0.07,2,0.54,'30-39,3409,null
3023,13.34,9/17/2020 15:15,0.13,4,1.08,'40-49,3408,null
4180,18.45,9/17/2020 15:15,0.41,17,4.57,'50-59,3407,null
3558,15.7,9/17/2020 15:15,1.18,42,11.29,'60-69,3406,null
1780,7.86,9/17/2020 15:15,6.4,114,30.65,'70-79,3405,null
918,4.05,9/17/2020 15:15,21.02,193,51.88,over 80,3404,null
539,2.4,9/16/2020 14:45,0,0,0,'0-9,3390,null
1247,5.54,9/16/2020 14:45,0,0,0,'10-19,3389,null
4606,20.47,9/16/2020 14:45,0,0,0,'20-29,3388,null
2757,12.25,9/16/2020 14:45,0.07,2,0.54,'30-39,3387,null
3003,13.34,9/16/2020 14:45,0.13,4,1.09,'40-49,3386,null
4144,18.41,9/16/2020 14:45,0.41,17,4.63,'50-59,3385,null
3531,15.69,9/16/2020 14:45,1.19,42,11.44,'60-69,3384,null
1763,7.83,9/16/2020 14:45,6.47,114,31.06,'70-79,3383,null
914,4.06,9/16/2020 14:45,20.57,188,51.23,over 80,3382,null
538,2.4,9/15/2020 14:27,0,0,0,'0-9,3379,null
1244,5.56,9/15/2020 14:27,0,0,0,'10-19,3378,null
4592,20.51,9/15/2020 14:27,0,0,0,'20-29,3377,null
2748,12.27,9/15/2020 14:27,0.07,2,0.54,'30-39,3376,null
2986,13.34,9/15/2020 14:27,0.13,4,1.09,'40-49,3375,null
4122,18.41,9/15/2020 14:27,0.41,17,4.63,'50-59,3374,null
3506,15.66,9/15/2020 14:27,1.2,42,11.44,'60-69,3373,null
1745,7.79,9/15/2020 14:27,6.53,114,31.06,'70-79,3372,null
910,4.06,9/15/2020 14:27,20.66,188,51.23,over 80,3371,null
532,2.39,9/14/2020 14:10,0,0,0,'0-9,3346,null
1236,5.55,9/14/2020 14:10,0,0,0,'10-19,3345,null
4584,20.57,9/14/2020 14:10,0,0,0,'20-29,3344,null
2738,12.29,9/14/2020 14:10,0.07,2,0.55,'30-39,3343,null
2968,13.32,9/14/2020 14:10,0.13,4,1.1,'40-49,3342,null
4104,18.42,9/14/2020 14:10,0.41,17,4.68,'50-59,3341,null
3481,15.62,9/14/2020 14:10,1.21,42,11.57,'60-69,3340,null
1734,7.78,9/14/2020 14:10,6.52,113,31.13,'70-79,3339,null
908,4.07,9/14/2020 14:10,20.37,185,50.96,over 80,3338,null
526,2.38,9/13/2020 15:11,0,0,0,'0-9,3324,null
1230,5.58,9/13/2020 15:11,0,0,0,'10-19,3323,null
4543,20.6,9/13/2020 15:11,0,0,0,'20-29,3322,null
2713,12.3,9/13/2020 15:11,0.07,2,0.56,'30-39,3321,null
2946,13.36,9/13/2020 15:11,0.14,4,1.13,'40-49,3320,null
4061,18.41,9/13/2020 15:11,0.42,17,4.79,'50-59,3319,null
3425,15.53,9/13/2020 15:11,1.23,42,11.83,'60-69,3318,null
1710,7.75,9/13/2020 15:11,6.37,109,30.7,'70-79,3317,null
901,4.09,9/13/2020 15:11,20.09,181,50.99,over 80,3316,null
526,2.38,9/12/2020 14:10,0,0,0,'0-9,3302,null
1230,5.58,9/12/2020 14:10,0,0,0,'10-19,3301,null
4543,20.6,9/12/2020 14:10,0,0,0,'20-29,3300,null
2713,12.3,9/12/2020 14:10,0.07,2,0.56,'30-39,3299,null
2946,13.36,9/12/2020 14:10,0.14,4,1.13,'40-49,3298,null
4061,18.41,9/12/2020 14:10,0.42,17,4.79,'50-59,3297,null
3425,15.53,9/12/2020 14:10,1.23,42,11.83,'60-69,3296,null
1710,7.75,9/12/2020 14:10,6.37,109,30.7,'70-79,3295,null
901,4.09,9/12/2020 14:10,20.09,181,50.99,over 80,3294,null
522,2.38,9/11/2020 14:46,0,0,0,'0-9,3280,null
1225,5.59,9/11/2020 14:46,0,0,0,'10-19,3279,null
4527,20.65,9/11/2020 14:46,0,0,0,'20-29,3278,null
2701,12.32,9/11/2020 14:46,0.07,2,0.57,'30-39,3277,null
2928,13.36,9/11/2020 14:46,0.14,4,1.14,'40-49,3276,null
4027,18.37,9/11/2020 14:46,0.4,16,4.57,'50-59,3275,null
3396,15.49,9/11/2020 14:46,1.24,42,12,'60-69,3274,null
1696,7.74,9/11/2020 14:46,6.37,108,30.86,'70-79,3273,null
897,4.09,9/11/2020 14:46,19.84,178,50.86,over 80,3272,null
519,2.39,9/10/2020 14:14,0,0,0,'0-9,3258,null
1222,5.62,9/10/2020 14:14,0,0,0,'10-19,3257,null
4505,20.72,9/10/2020 14:14,0,0,0,'20-29,3256,null
2682,12.34,9/10/2020 14:14,0.07,2,0.58,'30-39,3255,null
2906,13.37,9/10/2020 14:14,0.14,4,1.16,'40-49,3254,null
3993,18.36,9/10/2020 14:14,0.4,16,4.62,'50-59,3253,null
3356,15.43,9/10/2020 14:14,1.25,42,12.14,'60-69,3252,null
1680,7.73,9/10/2020 14:14,6.31,106,30.64,'70-79,3251,null
880,4.05,9/10/2020 14:14,20,176,50.87,over 80,3250,null
507,2.35,9/9/2020 14:14,0,0,0,'0-9,3236,null
1218,5.64,9/9/2020 14:14,0,0,0,'10-19,3235,null
4492,20.81,9/9/2020 14:14,0,0,0,'20-29,3234,null
2669,12.36,9/9/2020 14:14,0.07,2,0.58,'30-39,3233,null
2889,13.38,9/9/2020 14:14,0.14,4,1.16,'40-49,3232,null
3964,18.36,9/9/2020 14:14,0.4,16,4.65,'50-59,3231,null
3312,15.34,9/9/2020 14:14,1.27,42,12.21,'60-69,3230,null
1668,7.73,9/9/2020 14:14,6.29,105,30.52,'70-79,3229,null
869,4.03,9/9/2020 14:14,20.14,175,50.87,over 80,3228,null
501,2.34,9/8/2020 14:29,0,0,0,'0-9,3214,null
1210,5.65,9/8/2020 14:29,0,0,0,'10-19,3213,null
4485,20.93,9/8/2020 14:29,0,0,0,'20-29,3212,null
2653,12.38,9/8/2020 14:29,0.08,2,0.59,'30-39,3211,null
2874,13.41,9/8/2020 14:29,0.14,4,1.17,'40-49,3210,null
3936,18.37,9/8/2020 14:29,0.41,16,4.69,'50-59,3209,null
3264,15.23,9/8/2020 14:29,1.29,42,12.32,'60-69,3208,null
1646,7.68,9/8/2020 14:29,6.32,104,30.5,'70-79,3207,null
863,4.03,9/8/2020 14:29,20.05,173,50.73,over 80,3206,null
496,2.33,9/7/2020 14:15,0,0,0,'0-9,3192,null
1202,5.64,9/7/2020 14:15,0,0,0,'10-19,3191,null
4473,21,9/7/2020 14:15,0,0,0,'20-29,3190,null
2636,12.38,9/7/2020 14:15,0.08,2,0.6,'30-39,3189,null
2857,13.42,9/7/2020 14:15,0.14,4,1.19,'40-49,3188,null
3902,18.32,9/7/2020 14:15,0.41,16,4.76,'50-59,3187,null
3238,15.2,9/7/2020 14:15,1.3,42,12.5,'60-69,3186,null
1632,7.66,9/7/2020 14:15,6.25,102,30.36,'70-79,3185,null
860,4.04,9/7/2020 14:15,19.77,170,50.6,over 80,3184,null
493,2.33,9/6/2020 15:49,0,0,0,'0-9,3170,null
1197,5.65,9/6/2020 15:49,0,0,0,'10-19,3169,null
4460,21.06,9/6/2020 15:49,0,0,0,'20-29,3168,null
2619,12.37,9/6/2020 15:49,0.08,2,0.6,'30-39,3167,null
2841,13.42,9/6/2020 15:49,0.14,4,1.2,'40-49,3166,null
3880,18.32,9/6/2020 15:49,0.41,16,4.79,'50-59,3165,null
3217,15.19,9/6/2020 15:49,1.31,42,12.57,'60-69,3164,null
1612,7.61,9/6/2020 15:49,6.27,101,30.24,'70-79,3163,null
858,4.05,9/6/2020 15:49,19.7,169,50.6,over 80,3162,null
485,2.31,9/5/2020 15:01,0,0,0,'0-9,3159,null
1194,5.68,9/5/2020 15:01,0,0,0,'10-19,3158,null
4441,21.14,9/5/2020 15:01,0,0,0,'20-29,3157,null
2604,12.39,9/5/2020 15:01,0.08,2,0.6,'30-39,3156,null
2816,13.4,9/5/2020 15:01,0.14,4,1.2,'40-49,3155,null
3845,18.3,9/5/2020 15:01,0.42,16,4.8,'50-59,3154,null
3178,15.13,9/5/2020 15:01,1.32,42,12.61,'60-69,3153,null
1596,7.6,9/5/2020 15:01,6.27,100,30.03,'70-79,3152,null
851,4.05,9/5/2020 15:01,19.86,169,50.75,over 80,3151,null
482,2.31,9/4/2020 14:25,0,0,0,'0-9,3126,null
1188,5.7,9/4/2020 14:25,0,0,0,'10-19,3125,null
4427,21.24,9/4/2020 14:25,0,0,0,'20-29,3124,null
2585,12.4,9/4/2020 14:25,0.08,2,0.6,'30-39,3123,null
2797,13.42,9/4/2020 14:25,0.14,4,1.21,'40-49,3122,null
3807,18.27,9/4/2020 14:25,0.42,16,4.83,'50-59,3121,null
3136,15.05,9/4/2020 14:25,1.34,42,12.69,'60-69,3120,null
1578,7.57,9/4/2020 14:25,6.34,100,30.21,'70-79,3119,null
842,4.04,9/4/2020 14:25,19.83,167,50.45,over 80,3118,null
473,2.29,9/3/2020 14:13,0,0,0,'0-9,3104,null
1181,5.72,9/3/2020 14:13,0,0,0,'10-19,3103,null
4410,21.36,9/3/2020 14:13,0,0,0,'20-29,3102,null
2561,12.41,9/3/2020 14:13,0.08,2,0.61,'30-39,3101,null
2770,13.42,9/3/2020 14:13,0.14,4,1.22,'40-49,3100,null
3768,18.25,9/3/2020 14:13,0.42,16,4.86,'50-59,3099,null
3098,15.01,9/3/2020 14:13,1.36,42,12.77,'60-69,3098,null
1556,7.54,9/3/2020 14:13,6.36,99,30.09,'70-79,3097,null
827,4.01,9/3/2020 14:13,20.07,166,50.46,over 80,3096,null
466,2.28,9/2/2020 14:13,0,0,0,'0-9,3082,null
1174,5.74,9/2/2020 14:13,0,0,0,'10-19,3081,null
4388,21.46,9/2/2020 14:13,0,0,0,'20-29,3080,null
2540,12.42,9/2/2020 14:13,0.08,2,0.61,'30-39,3079,null
2741,13.4,9/2/2020 14:13,0.15,4,1.23,'40-49,3078,null
3732,18.25,9/2/2020 14:13,0.43,16,4.91,'50-59,3077,null
3064,14.98,9/2/2020 14:13,1.37,42,12.88,'60-69,3076,null
1534,7.5,9/2/2020 14:13,6.39,98,30.06,'70-79,3075,null
810,3.96,9/2/2020 14:13,20.25,164,50.31,over 80,3074,null
456,2.26,9/1/2020 14:35,0,0,0,'0-9,3060,null
1162,5.76,9/1/2020 14:35,0,0,0,'10-19,3059,null
4345,21.53,9/1/2020 14:35,0,0,0,'20-29,3058,null
2515,12.46,9/1/2020 14:35,0.08,2,0.62,'30-39,3057,null
2717,13.46,9/1/2020 14:35,0.15,4,1.23,'40-49,3056,null
3684,18.25,9/1/2020 14:35,0.43,16,4.94,'50-59,3055,null
3013,14.93,9/1/2020 14:35,1.39,42,12.96,'60-69,3054,null
1494,7.4,9/1/2020 14:35,6.49,97,29.94,'70-79,3053,null
796,3.94,9/1/2020 14:35,20.48,163,50.31,over 80,3052,null
442,2.22,8/31/2020 14:14,0,0,0,'0-9,3049,null
1145,5.74,8/31/2020 14:14,0,0,0,'10-19,3048,null
4320,21.66,8/31/2020 14:14,0,0,0,'20-29,3047,null
2491,12.49,8/31/2020 14:14,0.08,2,0.62,'30-39,3046,null
2692,13.5,8/31/2020 14:14,0.15,4,1.23,'40-49,3045,null
3639,18.24,8/31/2020 14:14,0.44,16,4.94,'50-59,3044,null
2968,14.88,8/31/2020 14:14,1.42,42,12.96,'60-69,3043,null
1464,7.34,8/31/2020 14:14,6.63,97,29.94,'70-79,3042,null
786,3.94,8/31/2020 14:14,20.74,163,50.31,over 80,3041,null
432,2.19,8/30/2020 14:19,0,0,0,'0-9,3016,null
1134,5.76,8/30/2020 14:19,0,0,0,'10-19,3015,null
4277,21.71,8/30/2020 14:19,0,0,0,'20-29,3014,null
2476,12.57,8/30/2020 14:19,0.08,2,0.62,'30-39,3013,null
2664,13.52,8/30/2020 14:19,0.15,4,1.24,'40-49,3012,null
3590,18.22,8/30/2020 14:19,0.45,16,4.95,'50-59,3011,null
2913,14.79,8/30/2020 14:19,1.44,42,13,'60-69,3010,null
1438,7.3,8/30/2020 14:19,6.68,96,29.72,'70-79,3009,null
775,3.93,8/30/2020 14:19,21.03,163,50.46,over 80,3008,null
422,2.18,8/29/2020 9:57,0,0,0,'0-9,2972,null
1122,5.78,8/29/2020 9:57,0,0,0,'10-19,2971,null
4233,21.82,8/29/2020 9:57,0,0,0,'20-29,2970,null
2437,12.56,8/29/2020 9:57,0.08,2,0.62,'30-39,2969,null
2627,13.54,8/29/2020 9:57,0.15,4,1.25,'40-49,2968,null
3535,18.22,8/29/2020 9:57,0.45,16,4.98,'50-59,2967,null
2840,14.64,8/29/2020 9:57,1.48,42,13.08,'60-69,2966,null
1417,7.3,8/29/2020 9:57,6.7,95,29.6,'70-79,2965,null
767,3.95,8/29/2020 9:57,21.12,162,50.47,over 80,2964,null
406,2.13,8/28/2020 14:27,0,0,0,'0-9,2961,null
1104,5.79,8/28/2020 14:27,0,0,0,'10-19,2960,null
4202,22.03,8/28/2020 14:27,0,0,0,'20-29,2959,null
2401,12.59,8/28/2020 14:27,0.08,2,0.63,'30-39,2958,null
2580,13.52,8/28/2020 14:27,0.16,4,1.27,'40-49,2957,null
3481,18.25,8/28/2020 14:27,0.46,16,5.06,'50-59,2956,null
2773,14.54,8/28/2020 14:27,1.48,41,12.97,'60-69,2955,null
1381,7.24,8/28/2020 14:27,6.81,94,29.75,'70-79,2954,null
749,3.93,8/28/2020 14:27,21.23,159,50.32,over 80,2953,null
390,2.08,8/27/2020 10:17,0,0,0,'0-9,2928,null
1087,5.81,8/27/2020 10:17,0,0,0,'10-19,2927,null
4170,22.29,8/27/2020 10:17,0,0,0,'20-29,2926,null
2353,12.58,8/27/2020 10:17,0.08,2,0.64,'30-39,2925,null
2527,13.51,8/27/2020 10:17,0.16,4,1.28,'40-49,2924,null
3408,18.22,8/27/2020 10:17,0.47,16,5.11,'50-59,2923,null
2709,14.48,8/27/2020 10:17,1.51,41,13.1,'60-69,2922,null
1333,7.13,8/27/2020 10:17,7.05,94,30.03,'70-79,2921,null
729,3.9,8/27/2020 10:17,21.4,156,49.84,over 80,2920,null
381,2.09,8/26/2020 10:21,0,0,0,'0-9,2906,null
1060,5.8,8/26/2020 10:21,0,0,0,'10-19,2905,null
4118,22.55,8/26/2020 10:21,0,0,0,'20-29,2904,null
2303,12.61,8/26/2020 10:21,0.09,2,0.64,'30-39,2903,null
2457,13.45,8/26/2020 10:21,0.16,4,1.28,'40-49,2902,null
3300,18.07,8/26/2020 10:21,0.48,16,5.13,'50-59,2901,null
2644,14.48,8/26/2020 10:21,1.55,41,13.14,'60-69,2900,null
1292,7.07,8/26/2020 10:21,7.2,93,29.81,'70-79,2899,null
710,3.89,8/26/2020 10:21,21.97,156,50,over 80,2898,null
368,2.05,8/25/2020 10:24,0,0,0,'0-9,2884,null
1047,5.83,8/25/2020 10:24,0,0,0,'10-19,2883,null
4081,22.74,8/25/2020 10:24,0,0,0,'20-29,2882,null
2256,12.57,8/25/2020 10:24,0.09,2,0.65,'30-39,2881,null
2415,13.46,8/25/2020 10:24,0.17,4,1.29,'40-49,2880,null
3240,18.06,8/25/2020 10:24,0.49,16,5.16,'50-59,2879,null
2587,14.42,8/25/2020 10:24,1.58,41,13.23,'60-69,2878,null
1258,7.01,8/25/2020 10:24,7.39,93,30,'70-79,2877,null
693,3.86,8/25/2020 10:24,22.22,154,49.68,over 80,2876,null
353,2,8/24/2020 10:21,0,0,0,'0-9,2862,null
1028,5.82,8/24/2020 10:21,0,0,0,'10-19,2861,null
4040,22.87,8/24/2020 10:21,0,0,0,'20-29,2860,null
2226,12.6,8/24/2020 10:21,0.09,2,0.65,'30-39,2859,null
2382,13.48,8/24/2020 10:21,0.17,4,1.29,'40-49,2858,null
3187,18.04,8/24/2020 10:21,0.5,16,5.18,'50-59,2857,null
2537,14.36,8/24/2020 10:21,1.62,41,13.27,'60-69,2856,null
1228,6.95,8/24/2020 10:21,7.57,93,30.1,'70-79,2855,null
684,3.87,8/24/2020 10:21,22.37,153,49.51,over 80,2854,null
344,1.98,8/23/2020 10:24,0,0,0,'0-9,2840,null
1015,5.83,8/23/2020 10:24,0,0,0,'10-19,2839,null
4010,23.05,8/23/2020 10:24,0,0,0,'20-29,2838,null
2191,12.59,8/23/2020 10:24,0.09,2,0.65,'30-39,2837,null
2343,13.47,8/23/2020 10:24,0.17,4,1.29,'40-49,2836,null
3139,18.04,8/23/2020 10:24,0.51,16,5.18,'50-59,2835,null
2485,14.28,8/23/2020 10:24,1.65,41,13.27,'60-69,2834,null
1204,6.92,8/23/2020 10:24,7.72,93,30.1,'70-79,2833,null
668,3.84,8/23/2020 10:24,22.9,153,49.51,over 80,2832,null
328,1.93,8/22/2020 10:16,0,0,0,'0-9,2818,null
980,5.76,8/22/2020 10:16,0,0,0,'10-19,2817,null
3976,23.39,8/22/2020 10:16,0,0,0,'20-29,2816,null
2151,12.65,8/22/2020 10:16,0.09,2,0.65,'30-39,2815,null
2281,13.42,8/22/2020 10:16,0.18,4,1.29,'40-49,2814,null
3057,17.98,8/22/2020 10:16,0.52,16,5.18,'50-59,2813,null
2398,14.1,8/22/2020 10:16,1.71,41,13.27,'60-69,2812,null
1177,6.92,8/22/2020 10:16,7.9,93,30.1,'70-79,2811,null
654,3.85,8/22/2020 10:16,23.39,153,49.51,over 80,2810,null
317,1.9,8/21/2020 10:32,0,0,0,'0-9,2796,null
961,5.76,8/21/2020 10:32,0,0,0,'10-19,2795,null
