Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
1446,13.26,5/11/2020 10:27,0.21,3,1.17,'40-49,691,null
1960,17.97,5/11/2020 10:27,0.77,15,5.86,'50-59,690,null
1358,12.45,5/11/2020 10:27,2.72,37,14.45,'60-69,689,null
711,6.52,5/11/2020 10:27,10.83,77,30.08,'70-79,688,null
488,4.47,5/11/2020 10:27,25,122,47.66,over 80,687,null
141,1.3,5/10/2020 10:16,0,0,0,'0-9,673,null
597,5.49,5/10/2020 10:16,0,0,0,'10-19,672,null
2998,27.57,5/10/2020 10:16,0,0,0,'20-29,671,null
1180,10.85,5/10/2020 10:16,0.17,2,0.78,'30-39,670,null
1442,13.26,5/10/2020 10:16,0.21,3,1.17,'40-49,669,null
1960,18.02,5/10/2020 10:16,0.77,15,5.86,'50-59,668,null
1357,12.48,5/10/2020 10:16,2.73,37,14.45,'60-69,667,null
711,6.54,5/10/2020 10:16,10.83,77,30.08,'70-79,666,null
488,4.49,5/10/2020 10:16,25,122,47.66,over 80,665,null
141,1.3,5/9/2020 10:20,0,0,0,'0-9,651,null
594,5.48,5/9/2020 10:20,0,0,0,'10-19,650,null
2979,27.48,5/9/2020 10:20,0,0,0,'20-29,649,null
1177,10.86,5/9/2020 10:20,0.17,2,0.78,'30-39,648,null
1438,13.27,5/9/2020 10:20,0.21,3,1.17,'40-49,647,null
1958,18.06,5/9/2020 10:20,0.77,15,5.86,'50-59,646,null
1355,12.5,5/9/2020 10:20,2.73,37,14.45,'60-69,645,null
710,6.55,5/9/2020 10:20,10.85,77,30.08,'70-79,644,null
488,4.5,5/9/2020 10:20,25,122,47.66,over 80,643,null
141,1.3,5/8/2020 10:19,0,0,0,'0-9,629,null
592,5.47,5/8/2020 10:19,0,0,0,'10-19,628,null
2967,27.42,5/8/2020 10:19,0,0,0,'20-29,627,null
1174,10.85,5/8/2020 10:19,0.17,2,0.78,'30-39,626,null
1438,13.29,5/8/2020 10:19,0.21,3,1.17,'40-49,625,null
1957,18.08,5/8/2020 10:19,0.77,15,5.86,'50-59,624,null
1355,12.52,5/8/2020 10:19,2.73,37,14.45,'60-69,623,null
710,6.56,5/8/2020 10:19,10.85,77,30.08,'70-79,622,null
488,4.51,5/8/2020 10:19,25,122,47.66,over 80,621,null
140,1.3,5/7/2020 10:48,0,0,0,'0-9,607,null
592,5.48,5/7/2020 10:48,0,0,0,'10-19,606,null
2966,27.44,5/7/2020 10:48,0,0,0,'20-29,605,null
1167,10.8,5/7/2020 10:48,0.17,2,0.78,'30-39,604,null
1436,13.28,5/7/2020 10:48,0.21,3,1.17,'40-49,603,null
1957,18.1,5/7/2020 10:48,0.77,15,5.86,'50-59,602,null
1354,12.53,5/7/2020 10:48,2.73,37,14.45,'60-69,601,null
710,6.57,5/7/2020 10:48,10.85,77,30.08,'70-79,600,null
488,4.51,5/7/2020 10:48,25,122,47.66,over 80,599,null
140,1.3,5/6/2020 10:17,0,0,0,'0-9,585,null
591,5.47,5/6/2020 10:17,0,0,0,'10-19,584,null
2964,27.43,5/6/2020 10:17,0,0,0,'20-29,583,null
1166,10.79,5/6/2020 10:17,0.17,2,0.78,'30-39,582,null
1436,13.29,5/6/2020 10:17,0.21,3,1.18,'40-49,581,null
1957,18.11,5/6/2020 10:17,0.77,15,5.88,'50-59,580,null
1354,12.53,5/6/2020 10:17,2.66,36,14.12,'60-69,579,null
710,6.57,5/6/2020 10:17,10.85,77,30.2,'70-79,578,null
488,4.52,5/6/2020 10:17,25,122,47.84,over 80,577,null
140,1.3,5/5/2020 10:23,0,0,0,'0-9,563,null
591,5.47,5/5/2020 10:23,0,0,0,'10-19,562,null
2964,27.43,5/5/2020 10:23,0,0,0,'20-29,561,null
1165,10.78,5/5/2020 10:23,0.17,2,0.79,'30-39,560,null
1436,13.29,5/5/2020 10:23,0.21,3,1.18,'40-49,559,null
1957,18.11,5/5/2020 10:23,0.77,15,5.91,'50-59,558,null
1353,12.52,5/5/2020 10:23,2.66,36,14.17,'60-69,557,null
710,6.57,5/5/2020 10:23,10.7,76,29.92,'70-79,556,null
488,4.52,5/5/2020 10:23,25,122,48.03,over 80,555,null
140,1.3,5/4/2020 10:12,0,0,0,'0-9,541,null
591,5.47,5/4/2020 10:12,0,0,0,'10-19,540,null
2964,27.44,5/4/2020 10:12,0,0,0,'20-29,539,null
1164,10.78,5/4/2020 10:12,0.17,2,0.79,'30-39,538,null
1435,13.29,5/4/2020 10:12,0.21,3,1.19,'40-49,537,null
1956,18.11,5/4/2020 10:12,0.77,15,5.95,'50-59,536,null
1353,12.53,5/4/2020 10:12,2.66,36,14.29,'60-69,535,null
710,6.57,5/4/2020 10:12,10.7,76,30.16,'70-79,534,null
488,4.52,5/4/2020 10:12,24.59,120,47.62,over 80,533,null
140,1.3,5/3/2020 10:56,0,0,0,'0-9,519,null
591,5.48,5/3/2020 10:56,0,0,0,'10-19,518,null
2962,27.44,5/3/2020 10:56,0,0,0,'20-29,517,null
1163,10.78,5/3/2020 10:56,0.17,2,0.8,'30-39,516,null
1432,13.27,5/3/2020 10:56,0.21,3,1.2,'40-49,515,null
1956,18.12,5/3/2020 10:56,0.77,15,6,'50-59,514,null
1351,12.52,5/3/2020 10:56,2.59,35,14,'60-69,513,null
710,6.58,5/3/2020 10:56,10.56,75,30,'70-79,512,null
488,4.52,5/3/2020 10:56,24.59,120,48,over 80,511,null
140,1.3,5/2/2020 10:23,0,0,0,'0-9,497,null
590,5.47,5/2/2020 10:23,0,0,0,'10-19,496,null
2960,27.46,5/2/2020 10:23,0,0,0,'20-29,495,null
1160,10.76,5/2/2020 10:23,0.17,2,0.8,'30-39,494,null
1430,13.27,5/2/2020 10:23,0.21,3,1.2,'40-49,493,null
1956,18.14,5/2/2020 10:23,0.77,15,6,'50-59,492,null
1349,12.51,5/2/2020 10:23,2.59,35,14,'60-69,491,null
709,6.58,5/2/2020 10:23,10.58,75,30,'70-79,490,null
486,4.51,5/2/2020 10:23,24.69,120,48,over 80,489,null
140,1.3,5/1/2020 10:28,0,0,0,'0-9,475,null
590,5.48,5/1/2020 10:28,0,0,0,'10-19,474,null
2957,27.45,5/1/2020 10:28,0,0,0,'20-29,473,null
1159,10.76,5/1/2020 10:28,0.17,2,0.81,'30-39,472,null
1429,13.26,5/1/2020 10:28,0.21,3,1.21,'40-49,471,null
1956,18.15,5/1/2020 10:28,0.77,15,6.05,'50-59,470,null
1348,12.51,5/1/2020 10:28,2.6,35,14.11,'60-69,469,null
709,6.58,5/1/2020 10:28,10.58,75,30.24,'70-79,468,null
486,4.51,5/1/2020 10:28,24.28,118,47.58,over 80,467,null
140,1.3,4/30/2020 10:14,0,0,0,'0-9,453,null
590,5.48,4/30/2020 10:14,0,0,0,'10-19,452,null
2952,27.42,4/30/2020 10:14,0,0,0,'20-29,451,null
1158,10.76,4/30/2020 10:14,0.17,2,0.81,'30-39,450,null
1427,13.26,4/30/2020 10:14,0.21,3,1.21,'40-49,449,null
1956,18.17,4/30/2020 10:14,0.77,15,6.07,'50-59,448,null
1348,12.52,4/30/2020 10:14,2.6,35,14.17,'60-69,447,null
709,6.59,4/30/2020 10:14,10.44,74,29.96,'70-79,446,null
485,4.51,4/30/2020 10:14,24.33,118,47.77,over 80,445,null
140,1.3,4/29/2020 10:27,0,0,0,'0-9,431,null
590,5.48,4/29/2020 10:27,0,0,0,'10-19,430,null
2951,27.42,4/29/2020 10:27,0,0,0,'20-29,429,null
1156,10.74,4/29/2020 10:27,0.17,2,0.81,'30-39,428,null
1426,13.25,4/29/2020 10:27,0.21,3,1.22,'40-49,427,null
1956,18.18,4/29/2020 10:27,0.77,15,6.1,'50-59,426,null
1348,12.53,4/29/2020 10:27,2.6,35,14.23,'60-69,425,null
709,6.59,4/29/2020 10:27,10.3,73,29.67,'70-79,424,null
485,4.51,4/29/2020 10:27,24.33,118,47.97,over 80,423,null
140,1.3,4/28/2020 10:24,0,0,0,'0-9,409,null
590,5.49,4/28/2020 10:24,0,0,0,'10-19,408,null
2948,27.42,4/28/2020 10:24,0,0,0,'20-29,407,null
1154,10.73,4/28/2020 10:24,0.17,2,0.82,'30-39,406,null
1423,13.23,4/28/2020 10:24,0.21,3,1.23,'40-49,405,null
1955,18.18,4/28/2020 10:24,0.77,15,6.15,'50-59,404,null
1348,12.54,4/28/2020 10:24,2.6,35,14.34,'60-69,403,null
709,6.59,4/28/2020 10:24,10.3,73,29.92,'70-79,402,null
485,4.51,4/28/2020 10:24,23.92,116,47.54,over 80,401,null
140,1.3,4/27/2020 10:14,0,0,0,'0-9,387,
588,5.48,4/27/2020 10:14,0,0,0,'10-19,386,
2943,27.41,4/27/2020 10:14,0,0,0,'20-29,385,
1152,10.73,4/27/2020 10:14,0.17,2,0.82,'30-39,384,
1422,13.24,4/27/2020 10:14,0.21,3,1.23,'40-49,383,
1953,18.19,4/27/2020 10:14,0.77,15,6.17,'50-59,382,
1347,12.54,4/27/2020 10:14,2.6,35,14.4,'60-69,381,
708,6.59,4/27/2020 10:14,10.17,72,29.63,'70-79,380,
485,4.52,4/27/2020 10:14,23.92,116,47.74,over 80,379,
141,1.31,4/26/2020 10:14,0,0,0,'0-9,365,
586,5.46,4/26/2020 10:14,0,0,0,'10-19,364,
2940,27.4,4/26/2020 10:14,0,0,0,'20-29,363,
1147,10.69,4/26/2020 10:14,0.17,2,0.83,'30-39,362,
1421,13.25,4/26/2020 10:14,0.21,3,1.24,'40-49,361,
1953,18.2,4/26/2020 10:14,0.77,15,6.2,'50-59,360,
1347,12.56,4/26/2020 10:14,2.6,35,14.46,'60-69,359,
708,6.6,4/26/2020 10:14,10.17,72,29.75,'70-79,358,
485,4.52,4/26/2020 10:14,23.71,115,47.52,over 80,357,
139,1.3,4/25/2020 10:40,0,0,0,'0-9,343,
586,5.47,4/25/2020 10:40,0,0,0,'10-19,342,
2937,27.4,4/25/2020 10:40,0,0,0,'20-29,341,
1143,10.66,4/25/2020 10:40,0.17,2,0.83,'30-39,340,
1420,13.25,4/25/2020 10:40,0.21,3,1.25,'40-49,339,
1953,18.22,4/25/2020 10:40,0.77,15,6.25,'50-59,338,
1347,12.57,4/25/2020 10:40,2.6,35,14.58,'60-69,337,
708,6.61,4/25/2020 10:40,10.03,71,29.58,'70-79,336,
485,4.53,4/25/2020 10:40,23.51,114,47.5,over 80,335,
138,1.29,4/24/2020 10:12,0,0,0,'0-9,321,
585,5.46,4/24/2020 10:12,0,0,0,'10-19,320,
2934,27.4,4/24/2020 10:12,0,0,0,'20-29,319,
1142,10.66,4/24/2020 10:12,0.18,2,0.83,'30-39,318,
1418,13.24,4/24/2020 10:12,0.21,3,1.25,'40-49,317,
1953,18.24,4/24/2020 10:12,0.77,15,6.25,'50-59,316,
1345,12.56,4/24/2020 10:12,2.6,35,14.58,'60-69,315,
708,6.61,4/24/2020 10:12,10.03,71,29.58,'70-79,314,
485,4.53,4/24/2020 10:12,23.51,114,47.5,over 80,313,
138,1.29,4/23/2020 10:12,0,0,0,'0-9,299,
584,5.46,4/23/2020 10:12,0,0,0,'10-19,298,
2933,27.41,4/23/2020 10:12,0,0,0,'20-29,297,
1141,10.66,4/23/2020 10:12,0.18,2,0.83,'30-39,296,
1418,13.25,4/23/2020 10:12,0.21,3,1.25,'40-49,295,
1952,18.24,4/23/2020 10:12,0.77,15,6.25,'50-59,294,
1344,12.56,4/23/2020 10:12,2.6,35,14.58,'60-69,293,
708,6.62,4/23/2020 10:12,10.03,71,29.58,'70-79,292,
484,4.52,4/23/2020 10:12,23.55,114,47.5,over 80,291,
138,1.29,4/22/2020 10:21,0,0,0,'0-9,277,
583,5.45,4/22/2020 10:21,0,0,0,'10-19,276,
2931,27.41,4/22/2020 10:21,0,0,0,'20-29,275,
1140,10.66,4/22/2020 10:21,0.18,2,0.84,'30-39,274,
1417,13.25,4/22/2020 10:21,0.21,3,1.26,'40-49,273,
1951,18.24,4/22/2020 10:21,0.77,15,6.3,'50-59,272,
1344,12.57,4/22/2020 10:21,2.53,34,14.29,'60-69,271,
707,6.61,4/22/2020 10:21,10.04,71,29.83,'70-79,270,
483,4.52,4/22/2020 10:21,23.4,113,47.48,over 80,269,
138,1.29,4/21/2020 10:16,0,0,0,'0-9,244,
582,5.45,4/21/2020 10:16,0,0,0,'10-19,243,
2928,27.41,4/21/2020 10:16,0,0,0,'20-29,242,
1139,10.66,4/21/2020 10:16,0.18,2,0.84,'30-39,241,
1413,13.23,4/21/2020 10:16,0.21,3,1.27,'40-49,240,
1951,18.26,4/21/2020 10:16,0.77,15,6.33,'50-59,239,
1343,12.57,4/21/2020 10:16,2.53,34,14.35,'60-69,238,
706,6.61,4/21/2020 10:16,9.92,70,29.54,'70-79,237,
483,4.52,4/21/2020 10:16,23.4,113,47.68,over 80,236,
138,1.29,4/20/2020 10:28,0,0,0,'0-9,233,
581,5.44,4/20/2020 10:28,0,0,0,'10-19,232,
2926,27.41,4/20/2020 10:28,0,0,0,'20-29,231,
1139,10.67,4/20/2020 10:28,0.18,2,0.85,'30-39,230,
1412,13.23,4/20/2020 10:28,0.21,3,1.27,'40-49,229,
1948,18.25,4/20/2020 10:28,0.77,15,6.36,'50-59,228,
1343,12.58,4/20/2020 10:28,2.53,34,14.41,'60-69,227,
705,6.6,4/20/2020 10:28,9.79,69,29.24,'70-79,226,
482,4.52,4/20/2020 10:28,23.44,113,47.88,over 80,225,
138,1.29,4/19/2020 11:07,0,0,0,'0-9,222,
578,5.42,4/19/2020 11:07,0,0,0,'10-19,221,
2921,27.4,4/19/2020 11:07,0,0,0,'20-29,220,
1137,10.67,4/19/2020 11:07,0.18,2,0.85,'30-39,219,
1412,13.24,4/19/2020 11:07,0.21,3,1.28,'40-49,218,
1945,18.24,4/19/2020 11:07,0.77,15,6.41,'50-59,217,
1343,12.6,4/19/2020 11:07,2.53,34,14.53,'60-69,216,
705,6.61,4/19/2020 11:07,9.65,68,29.06,'70-79,215,
482,4.52,4/19/2020 11:07,23.24,112,47.86,over 80,214,
138,1.3,4/18/2020 10:45,0,0,0,'0-9,200,
576,5.41,4/18/2020 10:45,0,0,0,'10-19,199,
2918,27.39,4/18/2020 10:45,0,0,0,'20-29,198,
1136,10.66,4/18/2020 10:45,0.09,1,0.43,'30-39,197,
1412,13.25,4/18/2020 10:45,0.21,3,1.29,'40-49,196,
1944,18.25,4/18/2020 10:45,0.77,15,6.47,'50-59,195,
1343,12.61,4/18/2020 10:45,2.46,33,14.22,'60-69,194,
705,6.62,4/18/2020 10:45,9.65,68,29.31,'70-79,193,
481,4.52,4/18/2020 10:45,23.28,112,48.28,over 80,192,
136,1.28,4/17/2020 10:35,0,0,0,'0-9,189,
576,5.42,4/17/2020 10:35,0,0,0,'10-19,188,
2909,27.35,4/17/2020 10:35,0,0,0,'20-29,187,
1135,10.67,4/17/2020 10:35,0.09,1,0.43,'30-39,186,
1411,13.27,4/17/2020 10:35,0.21,3,1.3,'40-49,185,
1942,18.26,4/17/2020 10:35,0.72,14,6.09,'50-59,184,
1342,12.62,4/17/2020 10:35,2.46,33,14.35,'60-69,183,
704,6.62,4/17/2020 10:35,9.66,68,29.57,'70-79,182,
480,4.51,4/17/2020 10:35,23.13,111,48.26,over 80,181,
135,1.27,4/16/2020 16:10,0,0,0,'0-9,178,
572,5.39,4/16/2020 16:10,0,0,0,'10-19,177,
2900,27.32,4/16/2020 16:10,0,0,0,'20-29,176,
1132,10.67,4/16/2020 16:10,0.09,1,0.44,'30-39,175,
1410,13.29,4/16/2020 16:10,0.21,3,1.31,'40-49,174,
1940,18.28,4/16/2020 16:10,0.72,14,6.11,'50-59,173,
1341,12.64,4/16/2020 16:10,2.46,33,14.41,'60-69,172,
703,6.62,4/16/2020 16:10,9.67,68,29.69,'70-79,171,
480,4.52,4/16/2020 16:10,22.92,110,48.03,over 80,170,
132,1.25,4/15/2020 15:44,0,0,0,'0-9,156,
569,5.37,4/15/2020 15:44,0,0,0,'10-19,155,
2895,27.33,4/15/2020 15:44,0,0,0,'20-29,154,
1131,10.68,4/15/2020 15:44,0.09,1,0.44,'30-39,153,
1408,13.29,4/15/2020 15:44,0.21,3,1.33,'40-49,152,
1937,18.29,4/15/2020 15:44,0.72,14,6.22,'50-59,151,
1339,12.64,4/15/2020 15:44,2.46,33,14.67,'60-69,150,
702,6.63,4/15/2020 15:44,9.69,68,30.22,'70-79,149,
478,4.51,4/15/2020 15:44,22.18,106,47.11,over 80,148,
132,1.25,4/14/2020 10:24,0,0,0,'0-9,145,
565,5.35,4/14/2020 10:24,0,0,0,'10-19,144,
2886,27.32,4/14/2020 10:24,0,0,0,'20-29,143,
1126,10.66,4/14/2020 10:24,0.09,1,0.45,'30-39,142,
1405,13.3,4/14/2020 10:24,0.21,3,1.35,'40-49,141,
1935,18.32,4/14/2020 10:24,0.72,14,6.31,'50-59,140,
1338,12.67,4/14/2020 10:24,2.47,33,14.86,'60-69,139,
700,6.63,4/14/2020 10:24,9.29,65,29.28,'70-79,138,
477,4.52,4/14/2020 10:24,22.22,106,47.75,over 80,137,
132,1.25,4/13/2020 10:22,0,0,0,'0-9,134,
562,5.33,4/13/2020 10:22,0,0,0,'10-19,133,
2879,27.32,4/13/2020 10:22,0,0,0,'20-29,132,
1122,10.65,4/13/2020 10:22,0.09,1,0.46,'30-39,131,
1401,13.3,4/13/2020 10:22,0.21,3,1.38,'40-49,130,
1932,18.34,4/13/2020 10:22,0.72,14,6.45,'50-59,129,
1335,12.67,4/13/2020 10:22,2.4,32,14.75,'60-69,128,
698,6.62,4/13/2020 10:22,9.17,64,29.49,'70-79,127,
476,4.52,4/13/2020 10:22,21.64,103,47.47,over 80,126,
130,1.24,4/12/2020 10:22,0,0,0,'0-9,123,
561,5.34,4/12/2020 10:22,0,0,0,'10-19,122,
2869,27.29,4/12/2020 10:22,0,0,0,'20-29,121,
1120,10.65,4/12/2020 10:22,0.09,1,0.47,'30-39,120,
1400,13.32,4/12/2020 10:22,0.21,3,1.4,'40-49,119,
1930,18.36,4/12/2020 10:22,0.73,14,6.54,'50-59,118,
1330,12.65,4/12/2020 10:22,2.33,31,14.49,'60-69,117,
697,6.63,4/12/2020 10:22,9.04,63,29.44,'70-79,116,
475,4.52,4/12/2020 10:22,21.47,102,47.66,over 80,115,
130,1.24,4/11/2020 10:29,0,0,0,'0-9,112,
558,5.32,4/11/2020 10:29,0,0,0,'10-19,111,
2856,27.25,4/11/2020 10:29,0,0,0,'20-29,110,
1115,10.64,4/11/2020 10:29,0.09,1,0.47,'30-39,109,
1399,13.35,4/11/2020 10:29,0.21,3,1.42,'40-49,108,
1926,18.38,4/11/2020 10:29,0.73,14,6.64,'50-59,107,
1327,12.66,4/11/2020 10:29,2.19,29,13.74,'60-69,106,
694,6.62,4/11/2020 10:29,9.08,63,29.86,'70-79,105,
475,4.53,4/11/2020 10:29,21.26,101,47.87,over 80,104,
129,1.23,4/10/2020 10:17,0,0,0,'0-9,101,
553,5.29,4/10/2020 10:17,0,0,0,'10-19,100,
2851,27.28,4/10/2020 10:17,0,0,0,'20-29,99,
1113,10.65,4/10/2020 10:17,0.09,1,0.48,'30-39,98,
1396,13.36,4/10/2020 10:17,0.21,3,1.44,'40-49,97,
1920,18.37,4/10/2020 10:17,0.68,13,6.25,'50-59,96,
1320,12.63,4/10/2020 10:17,2.12,28,13.46,'60-69,95,
694,6.64,4/10/2020 10:17,8.93,62,29.81,'70-79,94,
474,4.54,4/10/2020 10:17,21.31,101,48.56,over 80,93,
128,1.23,4/9/2020 10:23,0,0,0,'0-9,90,
552,5.3,4/9/2020 10:23,0,0,0,'10-19,89,
2844,27.29,4/9/2020 10:23,0,0,0,'20-29,88,
1109,10.64,4/9/2020 10:23,0.09,1,0.49,'30-39,87,
1394,13.37,4/9/2020 10:23,0.22,3,1.47,'40-49,86,
1917,18.39,4/9/2020 10:23,0.68,13,6.37,'50-59,85,
1314,12.61,4/9/2020 10:23,2.05,27,13.24,'60-69,84,
692,6.64,4/9/2020 10:23,8.67,60,29.41,'70-79,83,
473,4.54,4/9/2020 10:23,21.14,100,49.02,over 80,82,
126,1.21,4/8/2020 11:34,0,0,0,'0-9,79,
548,5.28,4/8/2020 11:34,0,0,0,'10-19,78,
2832,27.27,4/8/2020 11:34,0,0,0,'20-29,77,
1102,10.61,4/8/2020 11:34,0.09,1,0.5,'30-39,76,
1387,13.36,4/8/2020 11:34,0.22,3,1.5,'40-49,75,
1915,18.44,4/8/2020 11:34,0.68,13,6.5,'50-59,74,
1312,12.63,4/8/2020 11:34,2.06,27,13.5,'60-69,73,
692,6.66,4/8/2020 11:34,8.67,60,30,'70-79,72,
470,4.53,4/8/2020 11:34,20.43,96,48,over 80,71,
1,1,4/7/2020 20:10,1,1,1,'0-11,23,
126,1.22,4/7/2020 19:32,0,0,0,'0-9,22,
544,5.27,4/7/2020 19:32,0,0,0,'10-19,21,
2819,27.29,4/7/2020 19:32,0,0,0,'20-29,20,
1092,10.57,4/7/2020 19:32,0.09,1,0.52,'30-39,19,
1382,13.38,4/7/2020 19:32,0.14,2,1.04,'40-49,18,
1909,18.48,4/7/2020 19:32,0.68,13,6.77,'50-59,17,
1304,12.62,4/7/2020 19:32,1.99,26,13.54,'60-69,16,
689,6.67,4/7/2020 19:32,8.27,57,29.69,'70-79,15,
466,4.51,4/7/2020 19:32,19.96,93,48.44,over 80,14,
112,1.14,4/2/2020 19:02,0,0,0,'0-9,11,
515,5.26,4/2/2020 19:02,0,0,0,'10-19,10,
2656,27.14,4/2/2020 19:02,0,0,0,'20-29,9,
1012,10.34,4/2/2020 19:02,0.1,1,0.62,'30-39,8,
1312,13.41,4/2/2020 19:02,0.08,1,0.62,'40-49,7,
1851,18.91,4/2/2020 19:02,0.54,10,6.17,'50-59,6,
1235,12.62,4/2/2020 19:02,1.78,22,13.58,'60-69,5,
651,6.65,4/2/2020 19:02,7.07,46,28.4,'70-79,4,
442,4.52,4/2/2020 19:02,18.55,82,50.62,over 80,3,
